N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
135,KODEX 레버리지,"18,850",95,+0.51%,0,"16,776","89,000",3.91,"48,656,553",N/A,N/A,
136,현대백화점,"70,900",200,+0.28%,"5,000","16,592","23,402",14.73,"208,675",14.53,4.64,
137,포스코인터내셔널,"13,400",400,-2.90%,"5,000","16,532","123,375",14.88,"1,428,724",7.39,7.06,
138,LS ELECTRIC,"55,000","1,100",-1.96%,"5,000","16,500","30,000",14.14,"168,146",21.19,7.82,
139,현대엘리베이,"40,150",250,-0.62%,"5,000","16,387","40,815",25.19,"174,633",17.98,5.22,
140,대한유화,"250,000","3,000",+1.21%,"5,000","16,250","6,500",15.67,"69,844",18.30,6.11,
141,DB하이텍,"36,600",700,-1.88%,"5,000","16,250","44,399",29.24,"798,148",9.88,17.40,
142,OCI,"67,800",800,-1.17%,"5,000","16,170","23,849",17.26,"172,731",-2.19,-26.20,
143,부광약품,"24,500",300,-1.21%,500,"15,885","64,838",6.54,"448,109","12,250.00",-2.00,
144,한국테크놀로지그룹,"16,550",700,+4.42%,500,"15,395","93,020",6.48,"1,777,748",13.81,4.71,
145,대웅,"26,050",50,-0.19%,500,"15,146","58,142",7.41,"422,675",30.01,10.43,
146,지누스,"105,000","1,500",+1.45%,500,"15,127","14,407",22.15,"78,669",21.19,26.32,
147,두산솔루스,"49,400","3,100",+6.70%,100,"15,111","30,590",8.32,"6,414,874",142.77,N/A,
148,KCC,"170,000","1,500",+0.89%,"5,000","15,107","8,886",11.50,"52,467",-539.68,-4.37,
149,영진약품,"8,110",140,-1.70%,500,"14,833","182,893",4.44,"2,550,083","-2,027.50",4.43,
150,LG생활건강우,"700,000","2,000",+0.29%,"5,000","14,698","2,100",84.89,"4,976",15.68,N/A,
151,대우건설,"3,530",5,-0.14%,"5,000","14,671","415,623",8.38,"1,338,586",7.62,8.80,
152,KODEX 종합채권(AA-이상)액티브,"110,235",40,+0.04%,0,"14,588","13,234",0.00,"9,021",N/A,N/A,
153,롯데정밀화학,"56,400",400,+0.71%,"5,000","14,551","25,800",23.54,"263,290",8.51,11.73,
154,NHN,"71,600","1,600",-2.19%,500,"14,009","19,565",11.03,"274,229",47.70,0.78,
155,아이에스동서,"44,150",700,+1.61%,500,"13,639","30,893",5.42,"91,151",10.64,6.10,
156,한화에어로스페이스,"26,900",350,-1.28%,"5,000","13,619","50,630",16.96,"185,129",18.86,5.45,
157,한화시스템,"12,350",250,+2.07%,"5,000","13,613","110,230",2.16,"854,125",17.49,8.15,
158,HDC현대산업개발,"20,550",150,+0.74%,"5,000","13,544","65,907",8.38,"945,779",5.10,20.30,
159,메리츠금융지주,"10,000",10,+0.10%,500,"13,401","134,011",8.16,"153,910",3.32,15.26,
